	number	city	City	region	population	description	first_letter	last_letter
551	552	магас	Магас	Ингушетия	15271	"Мага́с (ингуш. Магас) — город на юге России, столица Республики Ингушетия. Самый маленький и самый молодой населённый пункт, являющийся административным центром субъекта Российской Федерации.
"	м	с
552	553	магнитогорск	Магнитогорск	Челябинская область	410594	"Магнитого́рск — город в Челябинской области России. Образует одноимённый городской округ. В соответствии с административно-территориальным делением Челябинской области является городом областного подчинения. Крупный культурный и деловой центр Южного Урала, один из крупнейших мировых центров чёрной металлургии[2]. Шестой из числа крупнейших городов, не являющихся центрами субъектов федерации.
"	м	к
553	554	майкоп	Майкоп	Адыгея	143385	"Майко́п (адыг. Мыекъуапэ — «долина яблонь»[3]) — город на юге России. Столица Республики Адыгея. Административный центр городского округа «город Майкоп», образованного в границах Майкопского республиканского городского округа[4].
"	м	п
554	555	майский	Майский	Кабардино-Балкария	26632	"Ма́йский — город в Кабардино-Балкарской Республике Российской Федерации. Административный центр Майского района и городского поселения Майский в его составе.
"	м	и
555	556	макаров	Макаров	Сахалинская область	5848	"Мака́ров (с 1905 по 1946 — Сирутомару; яп. 知取) — город в России, административный центр Макаровского городского округа Сахалинской области.
"	м	в
556	557	макарьев	Макарьев	Костромская область	5528	"Мака́рьев — город (с 1778[2]) в России, административный центр Макарьевского района Костромской области. Возник как слобода при Макарьево-Унженском монастыре. Население — 6266[1] чел. (2021).
"	м	в
557	558	макушино	Макушино	Курганская область	6827	"Макушино — город в России, административный центр Макушинского района Курганской области.
"	м	о
558	559	малая вишера	Малая Вишера	Новгородская область	9996	"Ма́лая Ви́шера — город (с 1921[2]) в России, административный центр Маловишерского муниципального района Новгородской области, железнодорожная станция Октябрьской железной дороги.
"	м	а
559	560	малгобек	Малгобек	Ингушетия	36480	"Малгобе́к (ингуш. МагӀалбике[6]) — город в Республике Ингушетия Российской Федерации.
"	м	к
560	561	малмыж	Малмыж	Кировская область	6931	"Малмы́ж (от мар. Малымаш — ночлег, место отдыха) — город (с 1780) в России, административный центр Малмыжского района Кировской области.
"	м	ж
561	562	малоархангельск	Малоархангельск	Орловская область	3609	"Малоарха́нгельск — город (с 1778[3]) в Орловской области России, административный центр Малоархангельского района. Образует одноимённое муниципальное образование городское поселение Малоархангельск как единственный населённый пункт в его составе[4].
"	м	к
562	563	малоярославец	Малоярославец	Калужская область	41836	"Малояросла́вец — город на правом берегу реки Лужи (бассейн Оки), в 61 км к северо-востоку от Калуги. Административный центр Малоярославецкого района Калужской области. Город воинской славы.
"	м	ц
563	564	мамадыш	Мамадыш	Татарстан	15726	"Мамады́ш (тат. Мамадыш) — город (с 1781 года) в Республике Татарстан Российской Федерации. Административный центр Мамадышского района.
"	м	ш
564	565	мамоново	Мамоново	Калининградская область	8314	"Мамо́ново, до 1947 года Хайлигенба́йль (нем. Heiligenbeil) — приграничный с Польшей город районного подчинения в Калининградской области Российской Федерации. Основан в 1301 году. С 2004 года является административным центром Мамоновского городского округа.
"	м	о
565	566	мантурово	Мантурово	Костромская область	13043	"157300[2]
157301[2]
157302[2]
157303[2]
"	м	о
566	567	мариинск	Мариинск	Кемеровская область	40779	"Марии́нск — город (с 1856) в Кемеровской области России, административный центр Мариинского района. До 1 июня 2021 года образовывал Мариинское городское поселение (упразднено в связи с преобразованием района в муниципальный округ[2]). Город областного подчинения.
"	м	к
567	568	мариинский посад	Мариинский Посад	Чувашия	7851	"Марии́нский Поса́д (устар. Сунды́рь, чуваш. Сӗнтӗрвӑрри) — город в Чувашской Республике России. Административный центр Мариинско-Посадского района (муниципального округа).
"	м	д
568	569	маркс	Маркс	Саратовская область	28749	"Маркс, до 1915 года Екатериненштадт (нем. Katharinenstadt), также Баронск, в 1915—1920 годах Екатериноград[3], в 1920—1942 годах Марксшта́дт (нем. Marxstadt) — город (с 1918 года) в России, расположенный на левом берегу Волги, в 60 км к северо-востоку от Саратова, административный центр Марксовского муниципального района Саратовской области. Образует одноимённое муниципальное образование город Маркс со статусом городского поселения как единственный населённый пункт в его составе.
"	м	с
569	570	махачкала	Махачкала	Дагестан	623254	"Махачкала́ (с 1857 по 1921 год — Петро́вск)[5] — город на юге России (на Кавказе), расположенный на берегу Каспийского моря[6]. Столица Республики Дагестан. Третий по численности населения город Северо-Кавказского региона и крупнейший город Северо-Кавказского федерального округа.
"	м	а
570	571	мглин	Мглин	Брянская область	6919	"Мглин — город в России, административный центр Мглинского района Брянской области. Образует Мглинское городское поселение.
"	м	н
571	572	мегион	Мегион	Ханты-Мансийский АО	52887	"Мегио́н — город в России, в Ханты-Мансийском автономном округе — Югре. Расположен в Западной Сибири, на месте впадения в Обь её протоки Меги.
"	м	н
572	573	медвежьегорск	Медвежьегорск	Карелия	11962	"Медвежьего́рск (карел. Karhumäki[2], Karhumägi) — город (с 1938 г.) в Республике Карелия Российской Федерации. Административный центр Медвежьегорского района и находящегося в его составе Медвежьегорского городского поселения.
"	м	к
573	574	медногорск	Медногорск	Оренбургская область	23693	"Медного́рск — город в России, в Оренбургской области, один из промышленных центров Оренбургской области. Административный центр городского округа город Медногорск.
"	м	к
574	575	медынь	Медынь	Калужская область	8200	"Меды́нь — город в России, административный центр Медынского района Калужской области.
"	м	н
575	576	межгорье	Межгорье	Башкортостан	15697	"Межго́рье (башк. Межгорье  слушать) — город (с 1995 г.) в Республике Башкортостан Российской Федерации, имеет статус закрытого административно-территориального образования, образует муниципальное образование ЗАТО Межгорье со статусом городского округа как единственный населённый пункт в его составе[2].
"	м	е
576	577	междуреченск	Междуреченск	Кемеровская область	96174	"Междуре́ченск — город областного подчинения в Кемеровской области России. Вместе с одиннадцатью посёлками Междуреченского района Кемеровской области составляет муниципальное образование — Междуреченский городской округ. Это один из крупнейших по количеству жителей, третий по площади[5] город Кемеровской области. Расположен на юге Западной Сибири, между реками Томь и Уса, в юго-восточной части Кузнецкого угольного бассейна (Кузбасса).
"	м	к
577	578	мезень	Мезень	Архангельская область	2874	"Мезе́нь — город (с 1780) в России, административный центр Мезенского муниципального района Архангельской области.
"	м	н
578	579	меленки	Меленки	Владимирская область	13407	"Ме́ленки — город (с 1778[3]) в России, центр Меленковского района Владимирской области, образует муниципальное образование городское поселение город Меленки.
"	м	и
579	580	мелеуз	Мелеуз	Башкортостан	56505	"Мелеу́з (башк. Мәләүез  слушать) — город в России, является административным центром Мелеузовского района Республики Башкортостан. Образует муниципальное образование город Мелеуз со статусом [город] как единственный населённый пункт в его составе.
"	м	з
580	581	менделеевск	Менделеевск	Татарстан	22875	"Менделе́евск (тат. Менделеев) — город (с 1967 г.) в Республике Татарстан России. Административный центр Менделеевского района. Образует муниципальное образование город Менделеевск со статусом городского поселения как единственный населённый пункт в его составе.[2]
"	м	к
581	582	мензелинск	Мензелинск	Татарстан	16008	"Мензели́нск (тат. Минзәлә) — город (с 1781) в Республике Татарстан России. Административный центр Мензелинского района. Образует муниципальное образование город Мензелинск со статусом городского поселения как единственный населённый пункт в его составе[2].
"	м	к
582	583	мещовск	Мещовск	Калужская область	3810	"Мещо́вск — город России, районный центр Мещовского района Калужской области. Расположен в центре области на реке Турее, в 21 км от железнодорожной станции Кудринская на линии Москва — Брянск, в 33 км от города Сухиничи, в 12 км от автотрассы Москва — Киев (М3), в 85 км к юго-западу от Калуги[источник не указан 898 дней].
"	м	к
583	584	миасс	Миасс	Челябинская область	147995	"Миа́сс — город в Челябинской области России. Административный центр Миасского городского округа. Население города составляет 147 995[1] человека (2021).
"	м	с
584	585	микунь	Микунь	Коми	8527	"Розмысло Владимир Аркадьевич 
"	м	н
585	586	миллерово	Миллерово	Ростовская область	34841	"Ми́ллерово — город в Ростовской области России. Административный центр Миллеровского района, а также Миллеровского городского поселения. Численность населения — 35 208 чел (2019)[3]. В 2018 году был удостоен почётного звания «Город воинской доблести»[4].
"	м	о
586	587	минеральные воды	Минеральные Воды	Ставропольский край	70485	"Минера́льные Во́ды — город[3] на юге России, в Ставропольском крае. Административный центр Минераловодского района (городского округа). Город краевого значения.
"	м	д
587	588	минусинск	Минусинск	Красноярский край	70089	"Минуси́нск — город (с 1822) в Красноярском крае России. Административный центр Минусинского района. Образует городской округ город Минусинск. В состав города входит посёлок Зелёный Бор, в котором расположена железнодорожная станция Минусинск.
"	м	к
588	589	миньяр	Миньяр	Челябинская область	8500	"Минья́р — город (с 14 мая 1943 года) в Ашинском районе Челябинской области России. Административный центр Миньярского городского поселения. Население составляет 8500[1] чел. (2021).
"	м	р
589	590	мирный	Мирный	Якутия	34045	"Ми́рный — город в России, образует городское поселение город Мирный. Является административным центром Мирнинского района Республика Саха (Якутия), на территории которого расположены несколько крупных карьеров и горно-обогатительных комбинатов добычи алмазов — вследствие этого город часто называют столицей алмазного края или алмазной столицей России[2][3].
"	м	н
590	591	мирный	Мирный	Архангельская область	27262	"Ми́рный — город (с 1966 г.) в Архангельской области России. Место расположения космодрома «Плесецк». Образует административно-территориальную единицу (город областного значения)[3][4] и муниципальное образование (городской округ) Мирный со статусом закрытого административно-территориального образования (ЗАТО)[5][6][7] с 1993 года.
"	м	н
591	592	михайлов	Михайлов	Рязанская область	10303	"Миха́йлов — город (с 1778[2]) в России, административный центр Михайловского района Рязанской области.
"	м	в
592	593	михайловка	Михайловка	Волгоградская область	56031	"Миха́йловка — город (с 1948) в Волгоградской области, в России.
"	м	а
593	594	михайловск	Михайловск	Свердловская область	9756	"Миха́йловск — город (с 1961) районного подчинения в Нижнесергинском районе Свердловской области России.
"	м	к
594	595	михайловск	Михайловск	Ставропольский край	114133	"Миха́йловск — город[3] в Ставропольском крае. Административный центр Шпаковского муниципального округа. Город-спутник Ставрополя.
"	м	к
595	596	мичуринск	Мичуринск	Тамбовская область	90451	"Мичу́ринск (до 1932 года — Козло́в) — город в Тамбовской области России, наукоград, расположен на правом берегу реки Лесной Воронеж в 72 км западнее Тамбова. Второй по значению после областного центра промышленный и культурный центр области.
"	м	к
596	597	могоча	Могоча	Забайкальский край	12390	"Мого́ча — город в Забайкальском крае России, административный центр Могочинского района и городского поселения «Могочинское».
"	м	а
597	598	можайск	Можайск	Московская область	33880	"Можа́йск — город областного подчинения в России, на западе Московской области, административный центр Можайского городского округа. Носит звание города воинской славы (2012).
"	м	к
598	599	можга	Можга	Удмуртия	44345	"Можга́ (удм. Можга) — город[3] в Удмуртской Республике России. Административный центр Можгинского района, в состав которого не входит. Образует городской округ город Можга.
"	м	а
599	600	моздок	Моздок	Северная Осетия	36784	"Моздо́к (осет. Мæздæг (инф.), кабард.-черк. Мэздэгу, кум. Мазлек/Мёздок[3]) — город в Республике Северная Осетия — Алания. Второй по величине город республики.
"	м	к
600	601	мончегорск	Мончегорск	Мурманская область	39962	"Мончего́рск — город (с 1937) в Мурманской области России. Административный центр муниципального округа город Мончегорск. Расположен в 115 км к югу от Мурманска. Население — 39 962[1] чел. (2021).
"	м	к
601	602	морозовск	Морозовск	Ростовская область	24258	"Моро́зовск — город (с 1941) в России, административный центр Морозовского района Ростовской области. Административный центр и единственный населённый пункт Морозовского городского поселения Ростовской области.
"	м	к
602	603	моршанск	Моршанск	Тамбовская область	39023	"Морша́нск — город (с 1779[2]) на севере Тамбовской области России. Административный центр Моршанского района, в который не входит, являясь административно-территориальной единицей городом областного значения, образующим одноимённое муниципальное образование городской округ город Моршанск[3].
"	м	к
603	604	мосальск	Мосальск	Калужская область	4234	"Моса́льск — город в России, районный центр Мосальского района Калужской области.
"	м	к
604	605	москва	Москва	Москва	13010012	"Москва́ (произношение (инф.)) — столица России, город федерального значения, административный центр Центрального федерального округа и центр Московской области, в состав которой не входит[6]. Крупнейший по численности населения город России и её субъект — 13 015 126[3] человек (2022), самый населённый из городов, полностью расположенных в Европе, занимает 22-е место среди городов мира по численности населения[7], крупнейший русскоязычный город в мире. Центр Московской городской агломерации. Самый крупный город Европы по площади[8].
"	м	а
605	606	муравленко	Муравленко	Ямало-Ненецкий АО	29233	"Муравле́нко — город (с 1990 года) в Ямало-Ненецком автономном округе России.
"	м	о
606	607	мураши	Мураши	Кировская область	5700	"613710 - северная сторона
"	м	и
607	608	мурино	Мурино	Ленинградская область	89083	"Му́рино — город в Ленинградской области России. Административный центр Муринского городского поселения Всеволожского муниципального района. Один из крупнейших по населению городов-спутников Санкт-Петербурга.
"	м	о
608	609	мурманск	Мурманск	Мурманская область	270384	"Му́рманск[6] (в 1916—1917 годах — Рома́нов-на-Му́рмане, кильд.-саамск. Мурман ланнҍ[7], сев.‑саам. Murmánska) — город на северо-западе России, административный центр Мурманской области. Население — 270 384[3] чел. (2021). Город, соответствующий категории областного значения, образует городской округ.
"	м	к
609	610	муром	Муром	Владимирская область	107497	"Му́ром — город в России, административный центр городского округа Муром и центральный город Муромского района (в состав района не входит) Владимирской области. Население города — 107 497 чел. (2021).
"	м	м
610	611	мценск	Мценск	Орловская область	36960	"Мценск — город в Орловской области России, административный центр Мценского района, в который не входит. Являясь городом областного значения (с 1963 года), образует муниципальное образование городской округ город Мценск[4].
"	м	к
611	612	мыски	Мыски	Кемеровская область	40109	"Мыски́ (шорск. Томазақ) — город областного подчинения в Кемеровской области, центр Мысковского городского округа.
"	м	и
612	613	мытищи	Мытищи	Московская область	255429	"Мыти́щи — город в Московской области, Россия. Северо-восточный город-спутник Москвы. Образует административно-территориальную единицу (город областного значения с административной территорией) и одноимённое муниципальное образование городской округ Мытищи.
"	м	и
613	614	мышкин	Мышкин	Ярославская область	5621	"Мы́шкин — город (с 1777 года[3]) в России, административный центр Мышкинского района Ярославской области. Является единственным населённым пунктом одноимённого городского поселения. Расположен на левом, высоком берегу Волги, напротив впадения реки Юхоть; пристань.
"	м	н
614	615	набережные челны	Набережные Челны	Татарстан	548434	"На́бережные Челны́ (тат. Яр Чаллы, с 19 ноября 1982 года[5] до 6 января 1988 года[6] — Бре́жнев) — город в Республике Татарстан России[7].
"	н	н
615	616	навашино	Навашино	Нижегородская область	14664	"Нава́шино — город (с 1957[2]) в Нижегородской области России, административный центр Навашинского городского округа.
"	н	о
616	617	наволоки	Наволоки	Ивановская область	8167	"На́волоки — город (с 1938[2]) районного подчинения в Кинешемском районе Ивановской области России, административный центр Наволокского городского поселения. Население — 8988[1] чел. (2021). День города — третья суббота июня (в 2018 году исполнилось 80 лет).
"	н	и
617	618	надым	Надым	Ямало-Ненецкий АО	45973	"Нады́м (селькупск. Нярэм, нен. Надым) — город в Ямало-Ненецком автономном округе России, административный центр Надымского района.
"	н	м
618	619	назарово	Назарово	Красноярский край	45333	"Наза́рово — город в Красноярском крае России. Административный центр Назаровского района, в состав которого не входит. Краевой город, образует муниципальное образование город Назарово со статусом городского округа как единственный населённый пункт в его составе[2].
"	н	о
619	620	назрань	Назрань	Ингушетия	122350	"Назра́нь (ингуш. На́на-На́ьсаре, Наьсаре) — город на юге России в составе Республики Ингушетия. Административный центр Назрановского района, в состав которого не входит. Город республиканского значения. Образует городской округ город Назрань[3]. Крупнейший город Ингушетии.
"	н	н
620	621	называевск	Называевск	Омская область	10434	"Называ́евск — город в России, административный центр Называевского района Омской области.
"	н	к
621	622	нальчик	Нальчик	Кабардино-Балкария	247054	"На́льчик (кабард.-черк. Налшык[3], карач.-балк. Нальчик[4])[5] — город-курорт на юге России. Столица Кабардино-Балкарской Республики, её административный, культурный и образовательный центр[6].
"	н	к
622	623	нариманов	Нариманов	Астраханская область	11104	"Нарима́нов — город (с 1984) в России, административный центр Наримановского района Астраханской области.
"	н	в
623	624	наро-фоминск	Наро-Фоминск	Московская область	71121	"На́ро-Фоми́нск — город (с 1926 года) на юго-западе Московской области России, город воинской славы (с 2009 года), административный центр Наро-Фоминского городского округа (с 2017 года).
"	н	к
624	625	нарткала	Нарткала	Кабардино-Балкария	33203	"Нарткала́ (кабард.-черк. Нарткъалэ) — город в Кабардино-Балкарской Республике Российской Федерации. Административный центр Урванского района; образует городское поселение Нарткала[2].
"	н	а
625	626	нарьян-мар	Нарьян-Мар	Ненецкий АО	23399	"Нарьян-Ма́р (нен. Няръяна мар — «Красный город») — город в России, административный центр и единственный город Ненецкого автономного округа. Город находится за Северным полярным кругом, он расположен в низовьях реки Печоры, в 110 км от Баренцева моря.
"	н	р
626	627	находка	Находка	Приморский край	139931	"Нахо́дка — город в Приморском крае России. Административно входит в Находкинский городской округ. Население — 139 931[2] чел. (2021), третий по величине город Приморья. С 1993 года отмечается устойчивое снижение численности населения.mw-parser-output .ts-Переход img{margin-left:.285714em}.
"	н	а
627	628	невель	Невель	Псковская область	13980	"Не́вель — город в России, административный центр Невельского района Псковской области,[2] также Невель является административным центром сельских поселений Ивановской и Плисской волостей.
"	н	л
628	629	невельск	Невельск	Сахалинская область	10608	"Не́вельск (с 1905 по 1946 — Хонто; яп. 本斗) — город-порт на Дальнем Востоке России, административный центр Невельского района Сахалинской области. Расположен на юго-западном побережье острова Сахалин, на берегу залива Невельского Татарского пролива Японского моря, в 94 км от Южно-Сахалинска. Ближайший к Японии город РФ (расстояние до мыса Соя 124 км). 
"	н	к
629	630	невинномысск	Невинномысск	Ставропольский край	117562	"Невинномысск — город краевого значения[5][6] в Ставропольском крае России. Образует городской округ город Невинномысск[7].
"	н	к
630	631	невьянск	Невьянск	Свердловская область	22061	"Невья́нск — город (с 1919 года) в России, административный центр Невьянского района и Невьянского городского округа Свердловской области. Один из старейших городов Урала, центр народного промысла Невьянской иконы. Город широко известен благодаря одной из самых известных[4] архитектурных достопримечательностей Урала — Невьянской наклонной башне.
"	н	к
631	632	нелидово	Нелидово	Тверская область	18603	"Нели́дово — город (с 1949[2]) в России, административный центр Нелидовского района (городского округа) Тверской области.
"	н	о
632	633	неман	Неман	Калининградская область	9255	"Не́ман (до 1947 года Рагни́т, нем. Ragnit) — город на левом берегу реки Неман (Мемель) в северо-восточной части Калининградской области Российской Федерации, административный центр Неманского района (муниципального округа). Расположен в 12 км от города Советск и в 120 км к северо-востоку от Калининграда на границе с Литвой.
"	н	н
633	634	нерехта	Нерехта	Костромская область	19977	"Не́рехта — город (с 1778 года[2]) в Костромской области России, административный центр Нерехтского района.
"	н	а
634	635	нерчинск	Нерчинск	Забайкальский край	15290	"Не́рчинск — город в Забайкальском крае России. Административный центр Нерчинского района, образует городское поселение Нерчинское.
"	н	к
635	636	нерюнгри	Нерюнгри	Якутия	53409	"Не́рюнгри (эвенк. Нерунӈа, якут. Нүөрүҥгүрү) — город, центр Нерюнгринского района Республики Саха (Якутия) Российской Федерации, образует городское поселение город Нерюнгри. Второй по величине город Якутии.
"	н	и
636	637	нестеров	Нестеров	Калининградская область	3336	"Не́стеров (до 1938 — Шталлупёнен, нем. Stallupönen, до 1946 — Эбенроде нем. Ebenrode) — город в Калининградской области России, административный центр Нестеровского района (муниципального округа).
"	н	в
637	638	нефтегорск	Нефтегорск	Самарская область	18076	"Нефтего́рск — город (с 1989) в России, административный центр Нефтегорского района Самарской области. Образует муниципальное образование городское поселение Нефтегорск как единственный населённый пункт в его составе.
"	н	к
638	639	нефтекамск	Нефтекамск	Башкортостан	131942	"Нефтека́мск (башк. Нефтекама (инф.)) — город в России, на северо-западе Башкирии[3]. Население — ↗131 942[2] (2021), по численности населения четвёртый город в республике после Уфы, Стерлитамака и Салавата. Занимает 124 место среди городов России по количеству проживающих людей. Расположен в Предуралье, на левобережье реки Камы (в 8 км от неё)[4].
"	н	к
639	640	нефтекумск	Нефтекумск	Ставропольский край	23137	"Нефтеку́мск — город[3] в Ставропольском крае Российской Федерации. Административный центр Нефтекумского городского округа .
"	н	к
640	641	нефтеюганск	Нефтеюганск	Ханты-Мансийский АО	124732	"Нефтеюга́нск (от нефть и хант. ёган — река) — город в России, административный центр Нефтеюганского района Ханты-Мансийского автономного округа — Югры. Третий по размеру город округа (после Сургута и Нижневартовска) — один из немногих в России превосходит по населению столицу субъекта (Ханты-Мансийск)[2].
"	н	к
641	642	нея	Нея	Костромская область	7816	"Не́я — город (с 1958[2]) в Костромской области в Российской Федерации, административный центр Нейского района и одноимённого муниципального округа, до 29 марта 2021 года муниципального района город Нея и Нейский район.
"	н	я
642	643	нижневартовск	Нижневартовск	Ханты-Мансийский АО	283256	"Нижнева́ртовск — город в России, административный центр Нижневартовского района Ханты-Мансийского автономного округа — Югры. Расположен на берегу Оби в непосредственной близости от Самотлорского нефтяного месторождения и является одним из крупнейших центров российской нефтяной промышленности.
"	н	к
643	644	нижнекамск	Нижнекамск	Татарстан	241479	"Нижнека́мск (тат. Түбəн Кама) — город (с 1966 года) в Республике Татарстан, Россия. Административный центр Нижнекамского района и городского поселения город Нижнекамск.
"	н	к
644	645	нижнеудинск	Нижнеудинск	Иркутская область	29995	"Нижнеу́динск — город в Иркутской области России, административный центр Нижнеудинского района. Образует Нижнеудинское муниципальное образование.
"	н	к
645	646	нижние серги	Нижние Серги	Свердловская область	8009	"Ни́жние Серги́ — город, административный центр Нижнесергинского района Свердловской области России.
"	н	и
646	647	нижний ломов	Нижний Ломов	Пензенская область	20421	"Ни́жний Ломо́в, Нижний-Ломов[3], Ломов Нижний[4] — город в Пензенской области России, административный центр Нижнеломовского муниципального района.
"	н	в
647	648	нижний новгород	Нижний Новгород	Нижегородская область	1226076	"до 1601 — Новгород Низовской земли
"	н	д
648	649	нижний тагил	Нижний Тагил	Свердловская область	338966	"Ни́жний Таги́л — город областного значения в Свердловской области России, крупный промышленный центр Урала. Административный центр муниципального образования «город Нижний Тагил» со статусом городского округа, относящегося к Горнозаводскому управленческому округу[4]. Станция Свердловской железной дороги. Город занимает второе место по численности населения в Свердловской области после Екатеринбурга. Объём отгруженных товаров собственного производства в обрабатывающей отрасли за 2007 год составил 131,8 млрд рублей[5].
"	н	л
